"Years","Accumulation","District","Value"
"2010","JFM","Marara",508.21
"2011","JFM","Marara",363.12
"2012","JFM","Marara",451.45
"2013","JFM","Marara",345.95
"2014","JFM","Marara",456.2
"2015","JFM","Marara",497.14
"2016","JFM","Marara",248.65
"2017","JFM","Marara",681.29
"2018","JFM","Marara",403.16
"2019","JFM","Marara",526.61
"2020","JFM","Marara",389.85
"2021","JFM","Marara",485.56
"1981","OND","Marara",152.28
"1982","OND","Marara",152.27
"1983","OND","Marara",160.9
"1984","OND","Marara",217.1
"1985","OND","Marara",362.58
"1986","OND","Marara",212.52
"1987","OND","Marara",164
"1988","OND","Marara",129.7
"1989","OND","Marara",230.32
"1990","OND","Marara",147.48
"1991","OND","Marara",134.16
"1992","OND","Marara",214.15
"1993","OND","Marara",185.7
"1994","OND","Marara",161.59
"1995","OND","Marara",304.68
"1996","OND","Marara",245.93
"1997","OND","Marara",261.38
"1998","OND","Marara",259.5
"1999","OND","Marara",98.59
"2000","OND","Marara",251.77
"2001","OND","Marara",232.42
"2002","OND","Marara",151.97
"2003","OND","Marara",138.03
"2004","OND","Marara",329.07
"2005","OND","Marara",269.4
"2006","OND","Marara",211.49
"2007","OND","Marara",300.67
"2008","OND","Marara",129.89
"2009","OND","Marara",276.4
"2010","OND","Marara",220.23
"2011","OND","Marara",198.8
"2012","OND","Marara",173.58
"2013","OND","Marara",161.88
"2014","OND","Marara",246.64
"2015","OND","Marara",142.35
"2016","OND","Marara",232.01
"2017","OND","Marara",185.9
"2018","OND","Marara",245.26
"2019","OND","Marara",151.15
"2020","OND","Marara",246.11
"1982","NDJ","Marara",312
"1983","NDJ","Marara",201.47
"1984","NDJ","Marara",231.85
"1985","NDJ","Marara",383.41
"1986","NDJ","Marara",608.81
"1987","NDJ","Marara",412.91
"1988","NDJ","Marara",328.57
"1989","NDJ","Marara",334.78
"1990","NDJ","Marara",523.71
"1991","NDJ","Marara",297.58
"1992","NDJ","Marara",222.83
"1993","NDJ","Marara",427.61
"1994","NDJ","Marara",327.59
"1995","NDJ","Marara",389.77
"1996","NDJ","Marara",462.47
"1997","NDJ","Marara",539.89
"1998","NDJ","Marara",517.75
"1999","NDJ","Marara",576.43
"2000","NDJ","Marara",324.73
"2001","NDJ","Marara",400.38
"2002","NDJ","Marara",378.4
"2003","NDJ","Marara",352.2
"2004","NDJ","Marara",354.61
"2005","NDJ","Marara",528.48
"2006","NDJ","Marara",488.28
"2007","NDJ","Marara",455.27
"2008","NDJ","Marara",552.35
"2009","NDJ","Marara",382.98
"2010","NDJ","Marara",384.15
"2011","NDJ","Marara",522.85
"2012","NDJ","Marara",446.24
"2013","NDJ","Marara",426.32
"2014","NDJ","Marara",380.03
"2015","NDJ","Marara",577.34
"2016","NDJ","Marara",250.3
"2017","NDJ","Marara",553.77
"2018","NDJ","Marara",237.13
"2019","NDJ","Marara",527.68
"2020","NDJ","Marara",362.42
"2021","NDJ","Marara",530.15
"1982","DJF","Marara",533.39
"1983","DJF","Marara",295.06
"1984","DJF","Marara",427.25
"1985","DJF","Marara",487.45
"1986","DJF","Marara",661.58
"1987","DJF","Marara",390.88
"1988","DJF","Marara",502.28
"1989","DJF","Marara",590.43
"1990","DJF","Marara",547.68
"1991","DJF","Marara",490.57
"1992","DJF","Marara",170.28
"1993","DJF","Marara",496.64
"1994","DJF","Marara",289.11
"1995","DJF","Marara",436.99
"1996","DJF","Marara",680.34
"1997","DJF","Marara",965.33
"1998","DJF","Marara",528.88
"1999","DJF","Marara",757.95
"2000","DJF","Marara",533.23
"2001","DJF","Marara",694.51
"2002","DJF","Marara",396.71
"2003","DJF","Marara",473.35
"2004","DJF","Marara",476.47
"2005","DJF","Marara",487.3
"2006","DJF","Marara",572.19
"2007","DJF","Marara",539.89
"2008","DJF","Marara",514.87
"2009","DJF","Marara",451.44
"2010","DJF","Marara",712.81
"2011","DJF","Marara",496.61
"2012","DJF","Marara",515.06
"2013","DJF","Marara",477.52
"2014","DJF","Marara",550.76
"2015","DJF","Marara",697.52
"2016","DJF","Marara",274.75
"2017","DJF","Marara",735.01
"2018","DJF","Marara",454.6
"2019","DJF","Marara",618.36
"2020","DJF","Marara",454.87
"2021","DJF","Marara",622.56
