"Years","Value","Index","Aggregation","District","Severo","Moderado","Leve"
"2008",-0.53,"SPI JF","SPI 2","Changara",0,0,0
"2009",-0.03,"SPI JF","SPI 2","Changara",0,0,0
"2010",0.61,"SPI JF","SPI 2","Changara",0,0,0
"2011",-0.06,"SPI JF","SPI 2","Changara",0,0,0
"2012",0.05,"SPI JF","SPI 2","Changara",0,0,0
"2013",-0.15,"SPI JF","SPI 2","Changara",0,0,0
"2014",0.74,"SPI JF","SPI 2","Changara",0,0,0
"2015",0.24,"SPI JF","SPI 2","Changara",0,0,0
"2016",-1.79,"SPI JF","SPI 2","Changara",1,1,1
"2017",1.21,"SPI JF","SPI 2","Changara",0,0,0
"2018",0.42,"SPI JF","SPI 2","Changara",0,0,0
"2019",0.64,"SPI JF","SPI 2","Changara",0,0,0
"2020",0.33,"SPI JF","SPI 2","Changara",0,0,0
"2021",0.43,"SPI JF","SPI 2","Changara",0,0,0
"1981",-0.72,"SPI ND","SPI 2","Changara",0,0,1
"1982",-0.91,"SPI ND","SPI 2","Changara",0,1,1
"1983",-0.25,"SPI ND","SPI 2","Changara",0,0,0
"1984",0.52,"SPI ND","SPI 2","Changara",0,0,0
"1985",1.74,"SPI ND","SPI 2","Changara",0,0,0
"1986",-0.07,"SPI ND","SPI 2","Changara",0,0,0
"1987",-0.4,"SPI ND","SPI 2","Changara",0,0,0
"1988",-1.6,"SPI ND","SPI 2","Changara",1,1,1
"1989",1.05,"SPI ND","SPI 2","Changara",0,0,0
"1990",-0.74,"SPI ND","SPI 2","Changara",0,0,1
"1991",-1.3,"SPI ND","SPI 2","Changara",1,1,1
"1992",-0.22,"SPI ND","SPI 2","Changara",0,0,0
"1993",-0.54,"SPI ND","SPI 2","Changara",0,0,0
"1994",-0.6,"SPI ND","SPI 2","Changara",0,0,0
"1995",1.14,"SPI ND","SPI 2","Changara",0,0,0
"1996",0.28,"SPI ND","SPI 2","Changara",0,0,0
"1997",0.7,"SPI ND","SPI 2","Changara",0,0,0
"1998",1.52,"SPI ND","SPI 2","Changara",0,0,0
"1999",-1.99,"SPI ND","SPI 2","Changara",1,1,1
"2000",0.51,"SPI ND","SPI 2","Changara",0,0,0
"2001",1.02,"SPI ND","SPI 2","Changara",0,0,0
"2002",-0.99,"SPI ND","SPI 2","Changara",0,1,1
"2003",-1.18,"SPI ND","SPI 2","Changara",1,1,1
"2004",1.62,"SPI ND","SPI 2","Changara",0,0,0
"2005",1.25,"SPI ND","SPI 2","Changara",0,0,0
"2006",0.11,"SPI ND","SPI 2","Changara",0,0,0
"2007",1.77,"SPI ND","SPI 2","Changara",0,0,0
"2008",-1,"SPI ND","SPI 2","Changara",1,1,1
"2009",0.41,"SPI ND","SPI 2","Changara",0,0,0
"2010",0.17,"SPI ND","SPI 2","Changara",0,0,0
"2011",-0.26,"SPI ND","SPI 2","Changara",0,0,0
"2012",-0.22,"SPI ND","SPI 2","Changara",0,0,0
"2013",-0.8,"SPI ND","SPI 2","Changara",0,0,1
"2014",0.88,"SPI ND","SPI 2","Changara",0,0,0
"2015",-1.14,"SPI ND","SPI 2","Changara",1,1,1
"2016",0.44,"SPI ND","SPI 2","Changara",0,0,0
"2017",-0.44,"SPI ND","SPI 2","Changara",0,0,0
"2018",0.23,"SPI ND","SPI 2","Changara",0,0,0
"2019",-1.21,"SPI ND","SPI 2","Changara",1,1,1
"2020",0.6,"SPI ND","SPI 2","Changara",0,0,0
"1981",0.2,"SPI ON","SPI 2","Changara",0,0,0
"1982",-0.03,"SPI ON","SPI 2","Changara",0,0,0
"1983",-1.04,"SPI ON","SPI 2","Changara",1,1,1
"1984",-0.36,"SPI ON","SPI 2","Changara",0,0,0
"1985",1.18,"SPI ON","SPI 2","Changara",0,0,0
"1986",0.83,"SPI ON","SPI 2","Changara",0,0,0
"1987",-0.62,"SPI ON","SPI 2","Changara",0,0,0
"1988",0.79,"SPI ON","SPI 2","Changara",0,0,0
"1989",0.86,"SPI ON","SPI 2","Changara",0,0,0
"1990",0.09,"SPI ON","SPI 2","Changara",0,0,0
"1991",0.43,"SPI ON","SPI 2","Changara",0,0,0
"1992",-0.11,"SPI ON","SPI 2","Changara",0,0,0
"1993",1.16,"SPI ON","SPI 2","Changara",0,0,0
"1994",-1.09,"SPI ON","SPI 2","Changara",1,1,1
"1995",-0.76,"SPI ON","SPI 2","Changara",0,0,1
"1996",0.18,"SPI ON","SPI 2","Changara",0,0,0
"1997",1.22,"SPI ON","SPI 2","Changara",0,0,0
"1998",0.55,"SPI ON","SPI 2","Changara",0,0,0
"1999",-0.09,"SPI ON","SPI 2","Changara",0,0,0
"2000",1.95,"SPI ON","SPI 2","Changara",0,0,0
"2001",0.03,"SPI ON","SPI 2","Changara",0,0,0
"2002",-0.15,"SPI ON","SPI 2","Changara",0,0,0
"2003",-1.77,"SPI ON","SPI 2","Changara",1,1,1
"2004",0.95,"SPI ON","SPI 2","Changara",0,0,0
"2005",0.25,"SPI ON","SPI 2","Changara",0,0,0
"2006",0.97,"SPI ON","SPI 2","Changara",0,0,0
"2007",0.52,"SPI ON","SPI 2","Changara",0,0,0
"2008",-2.02,"SPI ON","SPI 2","Changara",1,1,1
"2009",-0.36,"SPI ON","SPI 2","Changara",0,0,0
"2010",-0.22,"SPI ON","SPI 2","Changara",0,0,0
"2011",0.46,"SPI ON","SPI 2","Changara",0,0,0
"2012",-1.34,"SPI ON","SPI 2","Changara",1,1,1
"2013",-0.35,"SPI ON","SPI 2","Changara",0,0,0
"2014",-2.5,"SPI ON","SPI 2","Changara",1,1,1
"2015",-1.18,"SPI ON","SPI 2","Changara",1,1,1
"2016",0.35,"SPI ON","SPI 2","Changara",0,0,0
"2017",0.87,"SPI ON","SPI 2","Changara",0,0,0
"2018",0.4,"SPI ON","SPI 2","Changara",0,0,0
"2019",0.51,"SPI ON","SPI 2","Changara",0,0,0
"2020",-0.55,"SPI ON","SPI 2","Changara",0,0,0
"1982",0.03,"SPI DJF","SPI 3","Changara",0,0,0
"1983",-1.76,"SPI DJF","SPI 3","Changara",1,1,1
"1984",-0.48,"SPI DJF","SPI 3","Changara",0,0,0
"1985",0.47,"SPI DJF","SPI 3","Changara",0,0,0
"1986",0.99,"SPI DJF","SPI 3","Changara",0,0,0
"1987",-0.97,"SPI DJF","SPI 3","Changara",0,1,1
"1988",0.04,"SPI DJF","SPI 3","Changara",0,0,0
"1989",0.41,"SPI DJF","SPI 3","Changara",0,0,0
"1990",0.54,"SPI DJF","SPI 3","Changara",0,0,0
"1991",-0.44,"SPI DJF","SPI 3","Changara",0,0,0
"1992",-3.1,"SPI DJF","SPI 3","Changara",1,1,1
"1993",0.17,"SPI DJF","SPI 3","Changara",0,0,0
"1994",-1.71,"SPI DJF","SPI 3","Changara",1,1,1
"1995",-0.65,"SPI DJF","SPI 3","Changara",0,0,0
"1996",0.88,"SPI DJF","SPI 3","Changara",0,0,0
"1997",2.15,"SPI DJF","SPI 3","Changara",0,0,0
"1998",0.15,"SPI DJF","SPI 3","Changara",0,0,0
"1999",1.75,"SPI DJF","SPI 3","Changara",0,0,0
"2000",0.26,"SPI DJF","SPI 3","Changara",0,0,0
"2001",0.95,"SPI DJF","SPI 3","Changara",0,0,0
"2002",-0.53,"SPI DJF","SPI 3","Changara",0,0,0
"2003",-0.44,"SPI DJF","SPI 3","Changara",0,0,0
"2004",-0.17,"SPI DJF","SPI 3","Changara",0,0,0
"2005",-0.16,"SPI DJF","SPI 3","Changara",0,0,0
"2006",0.35,"SPI DJF","SPI 3","Changara",0,0,0
"2007",0.44,"SPI DJF","SPI 3","Changara",0,0,0
"2008",0.34,"SPI DJF","SPI 3","Changara",0,0,0
"2009",-0.26,"SPI DJF","SPI 3","Changara",0,0,0
"2010",0.67,"SPI DJF","SPI 3","Changara",0,0,0
"2011",-0.02,"SPI DJF","SPI 3","Changara",0,0,0
"2012",-0.16,"SPI DJF","SPI 3","Changara",0,0,0
"2013",-0.09,"SPI DJF","SPI 3","Changara",0,0,0
"2014",0.36,"SPI DJF","SPI 3","Changara",0,0,0
"2015",0.77,"SPI DJF","SPI 3","Changara",0,0,0
"2016",-1.85,"SPI DJF","SPI 3","Changara",1,1,1
"2017",1.14,"SPI DJF","SPI 3","Changara",0,0,0
"2018",0.01,"SPI DJF","SPI 3","Changara",0,0,0
"2019",0.53,"SPI DJF","SPI 3","Changara",0,0,0
"2020",-0.3,"SPI DJF","SPI 3","Changara",0,0,0
"2021",0.63,"SPI DJF","SPI 3","Changara",0,0,0
"1981",-0.32,"SPI JFM","SPI 3","Changara",0,0,0
"1982",0.15,"SPI JFM","SPI 3","Changara",0,0,0
"1983",-1.64,"SPI JFM","SPI 3","Changara",1,1,1
"1984",-0.18,"SPI JFM","SPI 3","Changara",0,0,0
"1985",0.7,"SPI JFM","SPI 3","Changara",0,0,0
"1986",0.25,"SPI JFM","SPI 3","Changara",0,0,0
"1987",-1.23,"SPI JFM","SPI 3","Changara",1,1,1
"1988",0.6,"SPI JFM","SPI 3","Changara",0,0,0
"1989",1.02,"SPI JFM","SPI 3","Changara",0,0,0
"1990",0,"SPI JFM","SPI 3","Changara",0,0,0
"1991",-0.12,"SPI JFM","SPI 3","Changara",0,0,0
"1992",-2.39,"SPI JFM","SPI 3","Changara",1,1,1
"1993",0.13,"SPI JFM","SPI 3","Changara",0,0,0
"1994",-1.56,"SPI JFM","SPI 3","Changara",1,1,1
"1995",-1.06,"SPI JFM","SPI 3","Changara",1,1,1
"1996",0.26,"SPI JFM","SPI 3","Changara",0,0,0
"1997",2.28,"SPI JFM","SPI 3","Changara",0,0,0
"1998",-0.08,"SPI JFM","SPI 3","Changara",0,0,0
"1999",1.3,"SPI JFM","SPI 3","Changara",0,0,0
"2000",1.19,"SPI JFM","SPI 3","Changara",0,0,0
"2001",1.82,"SPI JFM","SPI 3","Changara",0,0,0
"2002",-1.31,"SPI JFM","SPI 3","Changara",1,1,1
"2003",0.53,"SPI JFM","SPI 3","Changara",0,0,0
"2004",0.24,"SPI JFM","SPI 3","Changara",0,0,0
"2005",-1.39,"SPI JFM","SPI 3","Changara",1,1,1
"2006",0.09,"SPI JFM","SPI 3","Changara",0,0,0
"2007",0.55,"SPI JFM","SPI 3","Changara",0,0,0
"2008",-0.62,"SPI JFM","SPI 3","Changara",0,0,0
"2009",0.09,"SPI JFM","SPI 3","Changara",0,0,0
"2010",0.31,"SPI JFM","SPI 3","Changara",0,0,0
"2011",-0.09,"SPI JFM","SPI 3","Changara",0,0,0
"2012",0.09,"SPI JFM","SPI 3","Changara",0,0,0
"2013",-0.42,"SPI JFM","SPI 3","Changara",0,0,0
"2014",0.48,"SPI JFM","SPI 3","Changara",0,0,0
"2015",0.07,"SPI JFM","SPI 3","Changara",0,0,0
"2016",-1.43,"SPI JFM","SPI 3","Changara",1,1,1
"2017",1.35,"SPI JFM","SPI 3","Changara",0,0,0
"2018",0.34,"SPI JFM","SPI 3","Changara",0,0,0
"2019",0.69,"SPI JFM","SPI 3","Changara",0,0,0
"2020",-0.01,"SPI JFM","SPI 3","Changara",0,0,0
"2021",0.46,"SPI JFM","SPI 3","Changara",0,0,0
"1982",-0.81,"SPI NDJ","SPI 3","Changara",0,0,1
"1983",-2.06,"SPI NDJ","SPI 3","Changara",1,1,1
"1984",-1.3,"SPI NDJ","SPI 3","Changara",1,1,1
"1985",0.39,"SPI NDJ","SPI 3","Changara",0,0,0
"1986",1.36,"SPI NDJ","SPI 3","Changara",0,0,0
"1987",-0.09,"SPI NDJ","SPI 3","Changara",0,0,0
"1988",-0.25,"SPI NDJ","SPI 3","Changara",0,0,0
"1989",-0.49,"SPI NDJ","SPI 3","Changara",0,0,0
"1990",1.21,"SPI NDJ","SPI 3","Changara",0,0,0
"1991",-1.13,"SPI NDJ","SPI 3","Changara",1,1,1
"1992",-1.9,"SPI NDJ","SPI 3","Changara",1,1,1
"1993",-0.13,"SPI NDJ","SPI 3","Changara",0,0,0
"1994",-0.74,"SPI NDJ","SPI 3","Changara",0,0,1
"1995",-0.26,"SPI NDJ","SPI 3","Changara",0,0,0
"1996",0.61,"SPI NDJ","SPI 3","Changara",0,0,0
"1997",0.9,"SPI NDJ","SPI 3","Changara",0,0,0
"1998",0.84,"SPI NDJ","SPI 3","Changara",0,0,0
"1999",1.8,"SPI NDJ","SPI 3","Changara",0,0,0
"2000",-0.46,"SPI NDJ","SPI 3","Changara",0,0,0
"2001",-0.03,"SPI NDJ","SPI 3","Changara",0,0,0
"2002",0.19,"SPI NDJ","SPI 3","Changara",0,0,0
"2003",-0.51,"SPI NDJ","SPI 3","Changara",0,0,0
"2004",-0.57,"SPI NDJ","SPI 3","Changara",0,0,0
"2005",0.93,"SPI NDJ","SPI 3","Changara",0,0,0
"2006",0.72,"SPI NDJ","SPI 3","Changara",0,0,0
"2007",0.51,"SPI NDJ","SPI 3","Changara",0,0,0
"2008",1.49,"SPI NDJ","SPI 3","Changara",0,0,0
"2009",0.11,"SPI NDJ","SPI 3","Changara",0,0,0
"2010",-0.55,"SPI NDJ","SPI 3","Changara",0,0,0
"2011",1.04,"SPI NDJ","SPI 3","Changara",0,0,0
"2012",0.15,"SPI NDJ","SPI 3","Changara",0,0,0
"2013",0.26,"SPI NDJ","SPI 3","Changara",0,0,0
"2014",0.02,"SPI NDJ","SPI 3","Changara",0,0,0
"2015",1,"SPI NDJ","SPI 3","Changara",0,0,0
"2016",-1.54,"SPI NDJ","SPI 3","Changara",1,1,1
"2017",1.2,"SPI NDJ","SPI 3","Changara",0,0,0
"2018",-1.87,"SPI NDJ","SPI 3","Changara",1,1,1
"2019",0.86,"SPI NDJ","SPI 3","Changara",0,0,0
"2020",-0.4,"SPI NDJ","SPI 3","Changara",0,0,0
"2021",0.94,"SPI NDJ","SPI 3","Changara",0,0,0
"1981",-0.67,"SPI OND","SPI 3","Changara",0,0,0
"1982",-0.72,"SPI OND","SPI 3","Changara",0,0,1
"1983",-0.26,"SPI OND","SPI 3","Changara",0,0,0
"1984",0.52,"SPI OND","SPI 3","Changara",0,0,0
"1985",1.76,"SPI OND","SPI 3","Changara",0,0,0
"1986",0.13,"SPI OND","SPI 3","Changara",0,0,0
"1987",-0.47,"SPI OND","SPI 3","Changara",0,0,0
"1988",-1.18,"SPI OND","SPI 3","Changara",1,1,1
"1989",1.08,"SPI OND","SPI 3","Changara",0,0,0
"1990",-0.87,"SPI OND","SPI 3","Changara",0,1,1
"1991",-1.33,"SPI OND","SPI 3","Changara",1,1,1
"1992",-0.32,"SPI OND","SPI 3","Changara",0,0,0
"1993",-0.61,"SPI OND","SPI 3","Changara",0,0,0
"1994",-0.39,"SPI OND","SPI 3","Changara",0,0,0
"1995",1.18,"SPI OND","SPI 3","Changara",0,0,0
"1996",0.28,"SPI OND","SPI 3","Changara",0,0,0
"1997",0.78,"SPI OND","SPI 3","Changara",0,0,0
"1998",1.49,"SPI OND","SPI 3","Changara",0,0,0
"1999",-2.09,"SPI OND","SPI 3","Changara",1,1,1
"2000",0.54,"SPI OND","SPI 3","Changara",0,0,0
"2001",0.98,"SPI OND","SPI 3","Changara",0,0,0
"2002",-1.05,"SPI OND","SPI 3","Changara",1,1,1
"2003",-1.21,"SPI OND","SPI 3","Changara",1,1,1
"2004",1.66,"SPI OND","SPI 3","Changara",0,0,0
"2005",1.22,"SPI OND","SPI 3","Changara",0,0,0
"2006",0.06,"SPI OND","SPI 3","Changara",0,0,0
"2007",1.75,"SPI OND","SPI 3","Changara",0,0,0
"2008",-1.1,"SPI OND","SPI 3","Changara",1,1,1
"2009",0.34,"SPI OND","SPI 3","Changara",0,0,0
"2010",0.07,"SPI OND","SPI 3","Changara",0,0,0
"2011",-0.22,"SPI OND","SPI 3","Changara",0,0,0
"2012",-0.27,"SPI OND","SPI 3","Changara",0,0,0
"2013",-0.82,"SPI OND","SPI 3","Changara",0,0,1
"2014",0.82,"SPI OND","SPI 3","Changara",0,0,0
"2015",-1.24,"SPI OND","SPI 3","Changara",1,1,1
"2016",0.41,"SPI OND","SPI 3","Changara",0,0,0
"2017",-0.43,"SPI OND","SPI 3","Changara",0,0,0
"2018",0.18,"SPI OND","SPI 3","Changara",0,0,0
"2019",-1.26,"SPI OND","SPI 3","Changara",1,1,1
"2020",0.56,"SPI OND","SPI 3","Changara",0,0,0
"1982",-0.67,"SPI DJ","SPI 2","Marara",0,0,0
"1983",-2.01,"SPI DJ","SPI 2","Marara",1,1,1
"1984",-1.45,"SPI DJ","SPI 2","Marara",1,1,1
"1985",0.09,"SPI DJ","SPI 2","Marara",0,0,0
"1986",1.25,"SPI DJ","SPI 2","Marara",0,0,0
"1987",0.09,"SPI DJ","SPI 2","Marara",0,0,0
"1988",-0.41,"SPI DJ","SPI 2","Marara",0,0,0
"1989",-0.54,"SPI DJ","SPI 2","Marara",0,0,0
"1990",0.88,"SPI DJ","SPI 2","Marara",0,0,0
"1991",-0.98,"SPI DJ","SPI 2","Marara",0,1,1
"1992",-2.14,"SPI DJ","SPI 2","Marara",1,1,1
"1993",0.12,"SPI DJ","SPI 2","Marara",0,0,0
"1994",-1.1,"SPI DJ","SPI 2","Marara",1,1,1
"1995",0.27,"SPI DJ","SPI 2","Marara",0,0,0
"1996",0.69,"SPI DJ","SPI 2","Marara",0,0,0
"1997",1.14,"SPI DJ","SPI 2","Marara",0,0,0
"1998",0.74,"SPI DJ","SPI 2","Marara",0,0,0
"1999",1.39,"SPI DJ","SPI 2","Marara",0,0,0
"2000",-0.67,"SPI DJ","SPI 2","Marara",0,0,0
"2001",-0.62,"SPI DJ","SPI 2","Marara",0,0,0
"2002",-0.16,"SPI DJ","SPI 2","Marara",0,0,0
"2003",-0.35,"SPI DJ","SPI 2","Marara",0,0,0
"2004",-0.03,"SPI DJ","SPI 2","Marara",0,0,0
"2005",0.89,"SPI DJ","SPI 2","Marara",0,0,0
"2006",0.73,"SPI DJ","SPI 2","Marara",0,0,0
"2007",0.33,"SPI DJ","SPI 2","Marara",0,0,0
"2008",1.21,"SPI DJ","SPI 2","Marara",0,0,0
"2009",0.21,"SPI DJ","SPI 2","Marara",0,0,0
"2010",-0.16,"SPI DJ","SPI 2","Marara",0,0,0
"2011",1.1,"SPI DJ","SPI 2","Marara",0,0,0
"2012",0.44,"SPI DJ","SPI 2","Marara",0,0,0
"2013",0.48,"SPI DJ","SPI 2","Marara",0,0,0
"2014",0.01,"SPI DJ","SPI 2","Marara",0,0,0
"2015",1.65,"SPI DJ","SPI 2","Marara",0,0,0
"2016",-1.34,"SPI DJ","SPI 2","Marara",1,1,1
"2017",1.09,"SPI DJ","SPI 2","Marara",0,0,0
"2018",-2.1,"SPI DJ","SPI 2","Marara",1,1,1
"2019",0.89,"SPI DJ","SPI 2","Marara",0,0,0
"2020",-0.53,"SPI DJ","SPI 2","Marara",0,0,0
"2021",1.15,"SPI DJ","SPI 2","Marara",0,0,0
"1981",0.35,"SPI FM","SPI 2","Marara",0,0,0
"1982",0.52,"SPI FM","SPI 2","Marara",0,0,0
"1983",-0.18,"SPI FM","SPI 2","Marara",0,0,0
"1984",0.79,"SPI FM","SPI 2","Marara",0,0,0
"1985",0.44,"SPI FM","SPI 2","Marara",0,0,0
"1986",0,"SPI FM","SPI 2","Marara",0,0,0
"1987",-1.55,"SPI FM","SPI 2","Marara",1,1,1
"1988",0.87,"SPI FM","SPI 2","Marara",0,0,0
"1989",1.27,"SPI FM","SPI 2","Marara",0,0,0
"1990",-0.98,"SPI FM","SPI 2","Marara",0,1,1
"1991",0.63,"SPI FM","SPI 2","Marara",0,0,0
"1992",-1.37,"SPI FM","SPI 2","Marara",1,1,1
"1993",-0.32,"SPI FM","SPI 2","Marara",0,0,0
"1994",-1.32,"SPI FM","SPI 2","Marara",1,1,1
"1995",-1.25,"SPI FM","SPI 2","Marara",1,1,1
"1996",0.64,"SPI FM","SPI 2","Marara",0,0,0
"1997",1.9,"SPI FM","SPI 2","Marara",0,0,0
"1998",-0.49,"SPI FM","SPI 2","Marara",0,0,0
"1999",0.58,"SPI FM","SPI 2","Marara",0,0,0
"2000",1.01,"SPI FM","SPI 2","Marara",0,0,0
"2001",2.08,"SPI FM","SPI 2","Marara",0,0,0
"2002",-0.77,"SPI FM","SPI 2","Marara",0,0,1
"2003",0.66,"SPI FM","SPI 2","Marara",0,0,0
"2004",0.11,"SPI FM","SPI 2","Marara",0,0,0
"2005",-1.92,"SPI FM","SPI 2","Marara",1,1,1
"2006",0.33,"SPI FM","SPI 2","Marara",0,0,0
"2007",0.12,"SPI FM","SPI 2","Marara",0,0,0
"2008",-1.66,"SPI FM","SPI 2","Marara",1,1,1
"2009",-0.3,"SPI FM","SPI 2","Marara",0,0,0
"2010",1.21,"SPI FM","SPI 2","Marara",0,0,0
"2011",-1.58,"SPI FM","SPI 2","Marara",1,1,1
"2012",-0.03,"SPI FM","SPI 2","Marara",0,0,0
"2013",-1.07,"SPI FM","SPI 2","Marara",1,1,1
"2014",0.23,"SPI FM","SPI 2","Marara",0,0,0
"2015",-0.28,"SPI FM","SPI 2","Marara",0,0,0
"2016",-0.54,"SPI FM","SPI 2","Marara",0,0,0
"2017",0.97,"SPI FM","SPI 2","Marara",0,0,0
"2018",0.95,"SPI FM","SPI 2","Marara",0,0,0
"2019",0.27,"SPI FM","SPI 2","Marara",0,0,0
"2020",-0.21,"SPI FM","SPI 2","Marara",0,0,0
"2021",-0.03,"SPI FM","SPI 2","Marara",0,0,0
"1981",-0.5,"SPI JF","SPI 2","Marara",0,0,0
"1982",0.52,"SPI JF","SPI 2","Marara",0,0,0
"1983",-1.54,"SPI JF","SPI 2","Marara",1,1,1
"1984",-0.48,"SPI JF","SPI 2","Marara",0,0,0
"1985",-0.42,"SPI JF","SPI 2","Marara",0,0,0
"1986",0.39,"SPI JF","SPI 2","Marara",0,0,0
"1987",-0.86,"SPI JF","SPI 2","Marara",0,1,1
"1988",0.11,"SPI JF","SPI 2","Marara",0,0,0
"1989",1.2,"SPI JF","SPI 2","Marara",0,0,0
"1990",0.25,"SPI JF","SPI 2","Marara",0,0,0
"1991",0.29,"SPI JF","SPI 2","Marara",0,0,0
"1992",-2.72,"SPI JF","SPI 2","Marara",1,1,1
"1993",-0.01,"SPI JF","SPI 2","Marara",0,0,0
"1994",-1.47,"SPI JF","SPI 2","Marara",1,1,1
"1995",-0.41,"SPI JF","SPI 2","Marara",0,0,0
"1996",0.51,"SPI JF","SPI 2","Marara",0,0,0
"1997",2.49,"SPI JF","SPI 2","Marara",0,0,0
"1998",0.06,"SPI JF","SPI 2","Marara",0,0,0
"1999",1.29,"SPI JF","SPI 2","Marara",0,0,0
"2000",0.89,"SPI JF","SPI 2","Marara",0,0,0
"2001",1.43,"SPI JF","SPI 2","Marara",0,0,0
"2002",-1.21,"SPI JF","SPI 2","Marara",1,1,1
"2003",0.15,"SPI JF","SPI 2","Marara",0,0,0
"2004",0.01,"SPI JF","SPI 2","Marara",0,0,0
"2005",-1.01,"SPI JF","SPI 2","Marara",1,1,1
"2006",0.04,"SPI JF","SPI 2","Marara",0,0,0
"2007",0.34,"SPI JF","SPI 2","Marara",0,0,0
"2008",-0.71,"SPI JF","SPI 2","Marara",0,0,1
"2009",-0.14,"SPI JF","SPI 2","Marara",0,0,0
"2010",0.97,"SPI JF","SPI 2","Marara",0,0,0
"2011",-0.31,"SPI JF","SPI 2","Marara",0,0,0
"2012",0.14,"SPI JF","SPI 2","Marara",0,0,0
"2013",-0.2,"SPI JF","SPI 2","Marara",0,0,0
"2014",0.55,"SPI JF","SPI 2","Marara",0,0,0
"2015",0.78,"SPI JF","SPI 2","Marara",0,0,0
"2016",-1.83,"SPI JF","SPI 2","Marara",1,1,1
"2017",1.5,"SPI JF","SPI 2","Marara",0,0,0
"2018",-0.05,"SPI JF","SPI 2","Marara",0,0,0
"2019",0.71,"SPI JF","SPI 2","Marara",0,0,0
"2020",0.2,"SPI JF","SPI 2","Marara",0,0,0
"2021",0.48,"SPI JF","SPI 2","Marara",0,0,0
"1981",-0.91,"SPI ND","SPI 2","Marara",0,1,1
"1982",-1.04,"SPI ND","SPI 2","Marara",1,1,1
"1983",-0.71,"SPI ND","SPI 2","Marara",0,0,1
"1984",0.24,"SPI ND","SPI 2","Marara",0,0,0
"1985",2.14,"SPI ND","SPI 2","Marara",0,0,0
"1986",-0.02,"SPI ND","SPI 2","Marara",0,0,0
"1987",-0.63,"SPI ND","SPI 2","Marara",0,0,0
"1988",-1.79,"SPI ND","SPI 2","Marara",1,1,1
"1989",0.44,"SPI ND","SPI 2","Marara",0,0,0
"1990",-0.86,"SPI ND","SPI 2","Marara",0,1,1
"1991",-1.3,"SPI ND","SPI 2","Marara",1,1,1
"1992",0.26,"SPI ND","SPI 2","Marara",0,0,0
"1993",-0.25,"SPI ND","SPI 2","Marara",0,0,0
"1994",-0.91,"SPI ND","SPI 2","Marara",0,1,1
"1995",1.37,"SPI ND","SPI 2","Marara",0,0,0
"1996",0.67,"SPI ND","SPI 2","Marara",0,0,0
"1997",0.8,"SPI ND","SPI 2","Marara",0,0,0
"1998",0.92,"SPI ND","SPI 2","Marara",0,0,0
"1999",-1.95,"SPI ND","SPI 2","Marara",1,1,1
"2000",0.72,"SPI ND","SPI 2","Marara",0,0,0
"2001",0.49,"SPI ND","SPI 2","Marara",0,0,0
"2002",-0.9,"SPI ND","SPI 2","Marara",0,1,1
"2003",-1.12,"SPI ND","SPI 2","Marara",1,1,1
"2004",1.72,"SPI ND","SPI 2","Marara",0,0,0
"2005",1.07,"SPI ND","SPI 2","Marara",0,0,0
"2006",0.25,"SPI ND","SPI 2","Marara",0,0,0
"2007",1.44,"SPI ND","SPI 2","Marara",0,0,0
"2008",-1.24,"SPI ND","SPI 2","Marara",1,1,1
"2009",1.16,"SPI ND","SPI 2","Marara",0,0,0
"2010",0.38,"SPI ND","SPI 2","Marara",0,0,0
"2011",-0.07,"SPI ND","SPI 2","Marara",0,0,0
"2012",-0.37,"SPI ND","SPI 2","Marara",0,0,0
"2013",-0.7,"SPI ND","SPI 2","Marara",0,0,1
"2014",0.76,"SPI ND","SPI 2","Marara",0,0,0
"2015",-0.99,"SPI ND","SPI 2","Marara",0,1,1
"2016",0.46,"SPI ND","SPI 2","Marara",0,0,0
"2017",-0.19,"SPI ND","SPI 2","Marara",0,0,0
"2018",0.65,"SPI ND","SPI 2","Marara",0,0,0
"2019",-0.86,"SPI ND","SPI 2","Marara",0,1,1
"2020",0.71,"SPI ND","SPI 2","Marara",0,0,0
"1981",-0.36,"SPI ON","SPI 2","Marara",0,0,0
"1982",-0.1,"SPI ON","SPI 2","Marara",0,0,0
"1983",-1.01,"SPI ON","SPI 2","Marara",1,1,1
"1984",-0.85,"SPI ON","SPI 2","Marara",0,1,1
"1985",1.58,"SPI ON","SPI 2","Marara",0,0,0
"1986",0.8,"SPI ON","SPI 2","Marara",0,0,0
"1987",-0.93,"SPI ON","SPI 2","Marara",0,1,1
"1988",0.6,"SPI ON","SPI 2","Marara",0,0,0
"1989",0.68,"SPI ON","SPI 2","Marara",0,0,0
"1990",-0.11,"SPI ON","SPI 2","Marara",0,0,0
"1991",0.7,"SPI ON","SPI 2","Marara",0,0,0
"1992",0.61,"SPI ON","SPI 2","Marara",0,0,0
"1993",1.12,"SPI ON","SPI 2","Marara",0,0,0
"1994",-1.07,"SPI ON","SPI 2","Marara",1,1,1
"1995",-0.2,"SPI ON","SPI 2","Marara",0,0,0
"1996",0.24,"SPI ON","SPI 2","Marara",0,0,0
"1997",1.3,"SPI ON","SPI 2","Marara",0,0,0
"1998",-0.04,"SPI ON","SPI 2","Marara",0,0,0
"1999",-0.2,"SPI ON","SPI 2","Marara",0,0,0
"2000",2.03,"SPI ON","SPI 2","Marara",0,0,0
