"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2004",0.1,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2005",0.22,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2006",0.17,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2007",0.16,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2008",0.22,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2009",0.2,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2010",0.22,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2011",0.12,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2012",0.3,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2013",0.31,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2014",0.26,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2015",0.22,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2016",0.19,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2017",0.32,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2018",0.32,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2019",0.27,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2020",0.16,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2021",0.16,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1993",0.17,"SPI ON","SPI 2","Guija","05","Moderado"
"1994",0.33,"SPI ON","SPI 2","Guija","05","Moderado"
"1995",0.22,"SPI ON","SPI 2","Guija","05","Moderado"
"1996",0.17,"SPI ON","SPI 2","Guija","05","Moderado"
"1997",0.26,"SPI ON","SPI 2","Guija","05","Moderado"
"1998",0.06,"SPI ON","SPI 2","Guija","05","Moderado"
"1999",0.03,"SPI ON","SPI 2","Guija","05","Moderado"
"2000",0.1,"SPI ON","SPI 2","Guija","05","Moderado"
"2001",0.16,"SPI ON","SPI 2","Guija","05","Moderado"
"2002",0.26,"SPI ON","SPI 2","Guija","05","Moderado"
"2003",0.1,"SPI ON","SPI 2","Guija","05","Moderado"
"2004",0.06,"SPI ON","SPI 2","Guija","05","Moderado"
"2005",0.21,"SPI ON","SPI 2","Guija","05","Moderado"
"2006",0.13,"SPI ON","SPI 2","Guija","05","Moderado"
"2007",0.16,"SPI ON","SPI 2","Guija","05","Moderado"
"2008",0.19,"SPI ON","SPI 2","Guija","05","Moderado"
"2009",0.18,"SPI ON","SPI 2","Guija","05","Moderado"
"2010",0.22,"SPI ON","SPI 2","Guija","05","Moderado"
"2011",0.15,"SPI ON","SPI 2","Guija","05","Moderado"
"2012",0.3,"SPI ON","SPI 2","Guija","05","Moderado"
"2013",0.28,"SPI ON","SPI 2","Guija","05","Moderado"
"2014",0.26,"SPI ON","SPI 2","Guija","05","Moderado"
"2015",0.25,"SPI ON","SPI 2","Guija","05","Moderado"
"2016",0.16,"SPI ON","SPI 2","Guija","05","Moderado"
"2017",0.34,"SPI ON","SPI 2","Guija","05","Moderado"
"2018",0.29,"SPI ON","SPI 2","Guija","05","Moderado"
"2019",0.22,"SPI ON","SPI 2","Guija","05","Moderado"
"2020",0.17,"SPI ON","SPI 2","Guija","05","Moderado"
"2021",0.17,"SPI ON","SPI 2","Guija","05","Moderado"
"1993",0.26,"SPI ON","SPI 2","Changara","05","Moderado"
